,FOSB,JUNB,MECOM,IRF6,EGR1,CCL2,CD14,CHIT1,CTSL,CXCL2,HLA-DRA,IGF1,IL6ST,INSR,ITGB2,LRP1,LYZ,NRP2,OSMR,PLXNA4,PTX3,SCG2,SEMA3C,SEMA5A,SEMA6D,SLPI,SOCS3,THBS1,TNC,TYROBP,VCAM1,VEGFA,AGTR1,BST2,C3,C3AR1,C5AR1,CMTM6,EDN3,EDNRA,IL7R,PNOC,PROK1,TRH
GSM175766,1328.8898,1159.3353,220.6919,87.88536,793.5625,833.41925,716.8747,40.61663,754.96747,384.94638,1978.6289,948.21826,281.8069,431.06665,199.06094,475.7217,1576.1659,374.03177,664.8819,161.02785,64.5362,193.1041,1168.2693,98.32228,188.76193,252.13855,1034.2867,333.03372,194.7055,647.1296,610.6128,54.52088,129.77946,865.6339,8497.897,161.85077,206.22348,646.5596,21.855177,425.37164,127.709015,297.38748,1008.41046,85.558235
GSM175767,899.5736,2148.8477,58.564037,68.996025,705.3088,360.70798,463.2194,135.21164,866.39703,1228.3928,1507.7463,528.2345,645.37805,449.68472,239.66254,467.6474,1904.2185,481.5353,549.3147,44.82869,19.917074,209.6179,1004.8168,105.08789,145.48029,1034.7612,1193.983,123.94525,142.10136,627.3834,465.449,92.17187,71.76367,1597.2833,4997.662,143.74782,304.24594,793.26245,20.8903,330.90845,184.20674,48.89254,345.80557,71.32703
GSM175768,331.4874,868.06024,93.362785,88.4798,622.9786,132.872,292.51917,32.94019,593.0811,172.08282,441.36255,665.2311,484.0596,365.80402,64.90038,484.07092,160.74744,285.96884,340.49274,122.51054,78.20324,203.15334,1056.4272,63.83484,288.8804,100.65992,201.34625,195.74599,37.79538,178.2885,752.3347,61.030247,57.343822,1517.5493,5768.6777,85.635666,49.97246,443.31296,20.389141,662.7425,55.121147,168.80692,1116.2975,68.79986
GSM175769,1022.6859,1067.7079,94.24057,74.6111,664.6768,559.0832,890.54565,82.6332,1160.5355,423.0757,3623.3877,607.46533,411.37866,320.88596,403.15765,408.98053,2603.2917,307.04565,450.00497,84.332375,51.75652,60.44617,875.93713,66.72503,164.85767,75.773544,896.14087,184.99324,145.0753,1105.6548,726.83105,41.78075,89.56149,1024.8046,7223.0093,219.28668,243.5702,515.3481,21.331543,332.36108,228.85646,138.57011,415.38083,69.32072
GSM175770,301.9419,911.1715,76.95903,76.81728,543.8643,337.9803,623.7431,48.539867,963.5906,278.70654,2521.72,778.5877,377.89578,348.19104,245.82892,519.51086,1473.1727,482.17865,767.1311,73.05078,29.05751,110.35248,1785.9584,114.25174,203.0316,373.67468,618.7442,235.09116,170.18614,746.0345,433.67117,61.14452,57.982548,772.87024,10301.223,195.25359,138.42561,500.02054,29.329853,440.61542,187.80228,441.8928,299.55618,61.56722
GSM175771,1553.9882,1353.1685,81.55717,67.932365,1472.358,195.09091,434.35455,175.42465,700.72565,204.86417,1787.2423,471.8918,358.9979,328.61914,193.1132,375.4402,2274.2117,256.0199,267.528,66.72048,25.79406,39.4492,871.981,66.677574,355.5313,77.11544,664.4677,119.720924,40.47388,714.17285,753.79333,50.024757,59.097202,1325.1064,4627.1714,145.4329,100.11757,409.91867,24.57652,851.4933,89.72504,138.33363,473.25555,68.215935
GSM175772,1518.1232,1405.4545,113.108315,81.36264,1297.4166,364.98615,576.8873,77.761856,777.4506,407.06006,2328.376,1020.2836,481.0575,362.51935,263.97586,458.80023,1663.637,314.33948,390.0529,94.90121,45.032696,39.38982,1548.2383,68.320786,315.3936,1700.6836,656.66504,144.08339,113.3896,644.72534,437.17798,53.734413,92.714806,1309.3126,7252.4688,198.57347,148.39774,614.311,32.094284,442.84708,109.407646,217.93799,730.09485,63.695126
GSM175773,1967.7936,1742.5947,122.04153,60.309532,1884.0997,395.52258,538.92993,203.00749,741.05383,367.082,1419.4803,461.26938,403.90768,386.93628,207.13628,419.57938,1134.399,265.42914,529.2117,175.94707,58.572918,54.483536,699.5868,82.64274,296.20026,72.87203,941.2964,120.603935,85.07534,821.08575,909.9874,53.533382,44.248062,1177.9718,7002.864,158.29747,97.45986,608.40454,21.670876,447.83463,94.7664,559.35223,1017.76855,58.150448
GSM175774,1902.3716,1976.3922,123.88693,69.636246,1390.8441,497.02844,517.89923,34.976162,798.2438,473.10846,1079.8611,475.3111,420.25296,401.01392,141.94655,542.6078,232.24582,392.12268,724.70306,165.90288,57.437386,136.41255,1102.9025,77.32547,213.36955,67.57523,1021.4836,132.67256,48.105656,365.19733,902.96313,69.76872,94.788864,1080.1659,8490.866,133.97766,91.63019,513.67804,19.180834,545.6679,115.80026,903.57776,666.62634,56.31734
GSM175775,502.45294,491.2981,54.959816,76.496315,412.0713,363.6194,278.668,33.176216,699.72394,75.38753,397.95468,257.58115,1043.3639,231.14223,89.38913,284.97186,803.7001,145.50034,838.45685,73.27454,553.80096,52.57006,338.77444,77.84956,234.7505,148.86024,477.06744,148.45485,286.1789,251.83612,1118.3828,175.33083,34.98261,462.93277,4069.345,98.83318,71.07735,459.704,26.016752,336.85034,217.33235,60.693832,419.54218,59.68882
GSM175776,241.3189,236.87817,705.7589,189.33887,264.05606,64.117325,265.34637,30.1271,310.74176,32.91991,588.2589,2473.1377,174.07036,135.08069,86.23397,165.35982,389.6761,26.340387,176.02946,24.097876,14.201762,19.241238,564.3851,172.20776,40.085323,487.60358,81.96575,113.56682,1019.9572,209.11285,36.435806,165.40973,25.54721,130.66313,297.7841,79.889565,37.377884,1792.9835,57.604862,1551.5011,41.71228,47.372684,74.29116,276.65237
GSM175777,1096.0769,1142.7523,630.7911,293.91776,1208.4451,128.0878,217.96751,36.337456,280.4302,220.01566,528.39343,2409.5557,255.44397,162.95947,79.65924,179.48303,314.80792,27.40334,157.15437,26.02107,18.881306,18.589544,453.6443,160.39853,29.766298,939.7783,570.66846,144.88492,1064.5062,218.562,49.88988,345.8529,25.936167,121.91025,470.36865,73.0643,108.9479,1384.2134,57.535957,895.4514,52.55214,41.831276,55.330418,478.445
GSM175778,217.26054,269.70355,621.3759,238.5791,221.2551,81.749275,191.73094,27.124294,448.29547,255.8865,432.5708,2048.041,284.60712,123.38412,75.325935,143.62956,697.839,24.783087,140.19357,28.330137,13.41454,18.62178,452.22275,209.85123,36.522186,1998.8008,77.2237,75.25984,1002.16156,143.28622,40.77067,119.54927,22.447514,117.61841,662.98145,70.382484,43.594643,1448.2345,84.87748,1363.654,44.399857,32.163708,73.76359,801.3057
GSM175779,184.1291,833.21185,283.66562,261.3265,356.82193,208.87796,421.63895,34.28153,470.018,116.89457,564.9128,700.7931,511.08383,302.02112,102.08739,217.32095,452.80014,33.065716,546.96234,21.344404,14.276252,25.680496,117.43964,202.47531,30.72421,2945.0657,879.06696,63.001225,210.81535,327.84753,88.76779,207.17035,27.1341,192.20941,2760.2883,85.53532,54.764137,971.5979,25.3424,657.5251,47.596607,36.152615,212.8919,61.05036
GSM175780,1579.7806,855.53876,369.76495,182.85004,985.98486,76.97393,230.04684,39.694237,333.2488,34.81827,494.62137,2368.4092,211.24583,160.94003,79.19989,200.87013,199.8592,25.684116,155.62282,27.832012,19.028868,20.193213,501.87323,380.3836,60.091484,308.57358,304.66782,82.02534,661.15674,197.89468,33.098095,134.60349,24.536695,127.13047,111.6215,79.90645,39.77587,1063.5488,125.54928,1766.3436,39.248306,42.221283,80.2661,559.1818
GSM175781,189.38863,327.44803,669.358,195.29176,205.45387,71.00848,220.10706,36.337456,329.95236,54.611794,451.73007,2012.9375,133.09329,164.17754,71.2744,253.25856,296.83496,64.62517,178.02531,25.57433,17.144022,19.262058,325.38013,519.7433,31.821667,573.8365,149.49225,44.71266,596.16284,241.40912,60.397827,168.3354,18.214268,166.86253,240.40192,58.724663,50.819412,1410.8496,42.825317,901.78674,52.33292,41.530872,77.28101,114.94151
GSM175782,314.8429,333.65936,672.3624,191.22894,232.04567,65.91415,209.55914,38.16451,254.23802,141.97694,551.73926,2405.6396,216.87312,125.091896,85.75662,161.18248,463.9732,34.96008,130.02098,25.569208,15.390597,21.36185,493.99677,141.61108,34.147984,2287.6536,129.13919,47.223934,938.8516,160.46768,54.56239,114.8562,21.663225,221.96828,801.2702,57.310307,45.140953,1507.4926,59.09024,1496.0764,50.586853,29.651728,59.90589,660.33563
GSM175783,75.00061,249.10648,379.31677,181.9981,110.62771,64.93678,167.59103,28.301811,295.2567,34.05773,445.65494,1585.0526,191.58627,136.65988,78.02639,152.71013,256.97842,24.026903,140.56454,28.152817,15.222433,26.422413,224.43008,135.93076,37.365204,2090.2153,65.34468,42.63297,673.0665,219.4329,33.811535,91.052956,28.723433,218.44102,396.87546,63.971626,40.348583,1758.9766,52.58355,948.9433,45.56054,40.36692,55.033714,141.7237
GSM175784,828.79364,636.7196,491.6923,143.3066,544.70447,75.18789,378.974,26.77723,324.02258,87.37108,804.9381,2472.4785,160.21416,132.38338,104.78097,201.757,179.73534,34.736683,204.26642,28.547052,19.577585,26.538422,208.4514,224.68428,28.660852,976.99677,233.15369,52.472263,1047.6064,323.05188,49.208256,124.09475,30.246225,160.19696,341.1148,78.750145,49.32967,1485.8445,66.98788,1011.94025,55.63854,41.044273,72.91339,529.16296
GSM175785,572.6543,475.3299,479.71814,224.25774,363.895,47.790348,297.71695,36.518486,304.7954,40.957714,310.60458,1995.9835,155.60583,140.06282,62.393135,127.035995,233.76205,16.118824,131.47556,23.647799,15.2374735,24.899519,352.56528,164.0474,37.37949,798.6946,133.40628,39.644432,1041.3053,148.53026,33.136856,94.63171,27.695198,114.24858,117.75719,66.67373,49.242172,1205.941,68.397224,1266.5332,37.808197,35.751823,77.41763,238.84135
